Order	Gordon_Parcel	Hemisphere	Network	Network_Parcel#
131	63	L	CinguloOperc	CinguloOperc_7
132	71	L	CinguloOperc	CinguloOperc_8
133	72	L	CinguloOperc	CinguloOperc_9
134	76	L	CinguloOperc	CinguloOperc_10
135	81	L	CinguloOperc	CinguloOperc_11
136	82	L	CinguloOperc	CinguloOperc_12
137	84	L	CinguloOperc	CinguloOperc_13
138	101	L	CinguloOperc	CinguloOperc_14
139	103	L	CinguloOperc	CinguloOperc_15
140	105	L	CinguloOperc	CinguloOperc_16
141	111	L	CinguloOperc	CinguloOperc_17
142	112	L	CinguloOperc	CinguloOperc_18
143	147	L	CinguloOperc	CinguloOperc_19
144	153	L	CinguloOperc	CinguloOperc_20
145	180	R	CinguloOperc	CinguloOperc_21
146	181	R	CinguloOperc	CinguloOperc_22
147	185	R	CinguloOperc	CinguloOperc_23
148	187	R	CinguloOperc	CinguloOperc_24
149	188	R	CinguloOperc	CinguloOperc_25
150	192	R	CinguloOperc	CinguloOperc_26
151	196	R	CinguloOperc	CinguloOperc_27
152	198	R	CinguloOperc	CinguloOperc_28
153	219	R	CinguloOperc	CinguloOperc_29
154	223	R	CinguloOperc	CinguloOperc_30
155	234	R	CinguloOperc	CinguloOperc_31
156	235	R	CinguloOperc	CinguloOperc_32
157	238	R	CinguloOperc	CinguloOperc_33
158	245	R	CinguloOperc	CinguloOperc_34
159	246	R	CinguloOperc	CinguloOperc_35
160	248	R	CinguloOperc	CinguloOperc_36
161	249	R	CinguloOperc	CinguloOperc_37
162	274	R	CinguloOperc	CinguloOperc_38
163	317	R	CinguloOperc	CinguloOperc_39
164	318	R	CinguloOperc	CinguloOperc_40
165	12	L	MedialParietal	MedialParietal_1
166	89	L	MedialParietal	MedialParietal_2
167	93	L	MedialParietal	MedialParietal_3
168	173	R	MedialParietal	MedialParietal_4
169	254	R	MedialParietal	MedialParietal_5
170	41	L	DorsalAttn	DorsalAttn_1
171	42	L	DorsalAttn	DorsalAttn_2
172	43	L	DorsalAttn	DorsalAttn_3
173	49	L	DorsalAttn	DorsalAttn_4
174	51	L	DorsalAttn	DorsalAttn_5
175	52	L	DorsalAttn	DorsalAttn_6
176	55	L	DorsalAttn	DorsalAttn_7
177	74	L	DorsalAttn	DorsalAttn_8
178	87	L	DorsalAttn	DorsalAttn_9
179	88	L	DorsalAttn	DorsalAttn_10
180	91	L	DorsalAttn	DorsalAttn_11
181	92	L	DorsalAttn	DorsalAttn_12
182	95	L	DorsalAttn	DorsalAttn_13
183	100	L	DorsalAttn	DorsalAttn_14
184	106	L	DorsalAttn	DorsalAttn_15
185	107	L	DorsalAttn	DorsalAttn_16
186	110	L	DorsalAttn	DorsalAttn_17
187	113	L	DorsalAttn	DorsalAttn_18
188	155	L	DorsalAttn	DorsalAttn_19
189	189	R	DorsalAttn	DorsalAttn_20
190	199	R	DorsalAttn	DorsalAttn_21
191	203	R	DorsalAttn	DorsalAttn_22
192	208	R	DorsalAttn	DorsalAttn_23
193	211	R	DorsalAttn	DorsalAttn_24
194	236	R	DorsalAttn	DorsalAttn_25
195	250	R	DorsalAttn	DorsalAttn_26
196	252	R	DorsalAttn	DorsalAttn_27
197	253	R	DorsalAttn	DorsalAttn_28
198	262	R	DorsalAttn	DorsalAttn_29
199	266	R	DorsalAttn	DorsalAttn_30
200	271	R	DorsalAttn	DorsalAttn_31
201	275	R	DorsalAttn	DorsalAttn_32
202	23	L	VentralAttn	VentralAttn_1
203	60	L	VentralAttn	VentralAttn_2
204	61	L	VentralAttn	VentralAttn_3
205	62	L	VentralAttn	VentralAttn_4
206	75	L	VentralAttn	VentralAttn_5
207	79	L	VentralAttn	VentralAttn_6
208	80	L	VentralAttn	VentralAttn_7
209	85	L	VentralAttn	VentralAttn_8
210	86	L	VentralAttn	VentralAttn_9
211	158	L	VentralAttn	VentralAttn_10
212	161	L	VentralAttn	VentralAttn_11
213	221	R	VentralAttn	VentralAttn_12
214	222	R	VentralAttn	VentralAttn_13
215	226	R	VentralAttn	VentralAttn_14
216	228	R	VentralAttn	VentralAttn_15
217	229	R	VentralAttn	VentralAttn_16
218	231	R	VentralAttn	VentralAttn_17
219	237	R	VentralAttn	VentralAttn_18
220	241	R	VentralAttn	VentralAttn_19
221	242	R	VentralAttn	VentralAttn_20
222	243	R	VentralAttn	VentralAttn_21
223	332	R	VentralAttn	VentralAttn_22
224	333	R	VentralAttn	VentralAttn_23
225	5	L	Visual	Visual_1
226	8	L	Visual	Visual_2
227	15	L	Visual	Visual_3
228	16	L	Visual	Visual_4
229	17	L	Visual	Visual_5
230	20	L	Visual	Visual_6
231	90	L	Visual	Visual_7
232	97	L	Visual	Visual_8
233	98	L	Visual	Visual_9
234	99	L	Visual	Visual_10
235	131	L	Visual	Visual_11
236	132	L	Visual	Visual_12
237	136	L	Visual	Visual_13
238	137	L	Visual	Visual_14
239	138	L	Visual	Visual_15
240	139	L	Visual	Visual_16
241	140	L	Visual	Visual_17
242	141	L	Visual	Visual_18
243	166	R	Visual	Visual_19
244	169	R	Visual	Visual_20
245	175	R	Visual	Visual_21
246	176	R	Visual	Visual_22
247	177	R	Visual	Visual_23
248	251	R	Visual	Visual_24
249	255	R	Visual	Visual_25
250	256	R	Visual	Visual_26
251	258	R	Visual	Visual_27
252	263	R	Visual	Visual_28
253	264	R	Visual	Visual_29
254	265	R	Visual	Visual_30
255	267	R	Visual	Visual_31
256	293	R	Visual	Visual_32
257	298	R	Visual	Visual_33
258	299	R	Visual	Visual_34
259	307	R	Visual	Visual_35
260	308	R	Visual	Visual_36
261	309	R	Visual	Visual_37
262	310	R	Visual	Visual_38
263	311	R	Visual	Visual_39
264	2	L	SMhand	SMhand_1
265	30	L	SMhand	SMhand_2
266	31	L	SMhand	SMhand_3
267	32	L	SMhand	SMhand_4
268	33	L	SMhand	SMhand_5
269	35	L	SMhand	SMhand_6
270	36	L	SMhand	SMhand_7
271	37	L	SMhand	SMhand_8
272	38	L	SMhand	SMhand_9
273	45	L	SMhand	SMhand_10
274	46	L	SMhand	SMhand_11
275	47	L	SMhand	SMhand_12
276	48	L	SMhand	SMhand_13
277	50	L	SMhand	SMhand_14
278	54	L	SMhand	SMhand_15
279	56	L	SMhand	SMhand_16
280	57	L	SMhand	SMhand_17
281	58	L	SMhand	SMhand_18
282	163	R	SMhand	SMhand_19
283	190	R	SMhand	SMhand_20
284	191	R	SMhand	SMhand_21
285	193	R	SMhand	SMhand_22
286	194	R	SMhand	SMhand_23
287	195	R	SMhand	SMhand_24
288	201	R	SMhand	SMhand_25
289	202	R	SMhand	SMhand_26
290	204	R	SMhand	SMhand_27
291	205	R	SMhand	SMhand_28
292	206	R	SMhand	SMhand_29
293	207	R	SMhand	SMhand_30
294	209	R	SMhand	SMhand_31
295	210	R	SMhand	SMhand_32
296	213	R	SMhand	SMhand_33
297	214	R	SMhand	SMhand_34
298	215	R	SMhand	SMhand_35
299	216	R	SMhand	SMhand_36
300	217	R	SMhand	SMhand_37
301	270	R	SMhand	SMhand_38
302	3	L	SMmouth	SMmouth_1
303	39	L	SMmouth	SMmouth_2
304	53	L	SMmouth	SMmouth_3
305	59	L	SMmouth	SMmouth_4
306	164	R	SMmouth	SMmouth_5
307	197	R	SMmouth	SMmouth_6
308	212	R	SMmouth	SMmouth_7
309	218	R	SMmouth	SMmouth_8
310	10	L	Auditory	Auditory_1
311	64	L	Auditory	Auditory_2
312	65	L	Auditory	Auditory_3
313	66	L	Auditory	Auditory_4
314	67	L	Auditory	Auditory_5
315	68	L	Auditory	Auditory_6
316	69	L	Auditory	Auditory_7
317	70	L	Auditory	Auditory_8
318	77	L	Auditory	Auditory_9
319	102	L	Auditory	Auditory_10
320	104	L	Auditory	Auditory_11
321	160	L	Auditory	Auditory_12
322	171	R	Auditory	Auditory_13
323	224	R	Auditory	Auditory_14
324	227	R	Auditory	Auditory_15
325	230	R	Auditory	Auditory_16
326	232	R	Auditory	Auditory_17
327	233	R	Auditory	Auditory_18
328	239	R	Auditory	Auditory_19
329	244	R	Auditory	Auditory_20
330	268	R	Auditory	Auditory_21
331	269	R	Auditory	Auditory_22
332	329	R	Auditory	Auditory_23
333	330	R	Auditory	Auditory_24
